排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
56,ERP概念,BK1133,1303.62,59.72,4.8,272788752000,8.11,14,3,长荣股份,20.03
187,固态电池,BK0968,1765.23,72.71,4.3,5123892992000,4.79,146,22,德新科技,9.99
118,民爆概念,BK1066,1279.02,50.06,4.07,167127291000,3.08,16,1,保利联合,9.96
26,可控核聚变,BK1163,1270.5,48.14,3.94,403982416000,3.44,19,3,中国核建,9.99
104,噪声防治,BK1082,1302.76,46.68,3.72,34692621000,4.99,7,1,德尔股份,20.01
371,超导概念,BK0679,4008.11,139.85,3.62,233492210000,5.01,14,1,联创光电,10.0
328,钛白粉,BK0805,1000.51,32.58,3.37,141947048000,2.63,11,0,中核钛白,7.51
20,AI制药,BK1170,1166.43,35.57,3.15,296731648000,4.5,24,0,塞力医疗,10.0
168,钠离子电池,BK0988,1366.47,41.41,3.13,2035904352000,3.75,41,10,上海洗霸,10.01
288,纳米银,BK0855,1717.18,50.42,3.03,109330672000,5.13,10,0,*ST有树,8.95
146,磷化工,BK1010,673.16,18.1,2.76,693324512000,2.43,38,4,天际股份,9.96
84,熔盐储能,BK1103,838.11,22.09,2.71,73547940000,2.71,6,2,久盛电气,8.94
131,动力电池回收,BK1052,749.19,19.76,2.71,740089056000,3.68,30,6,科力远,9.94
129,DRG/DIP,BK1054,1114.03,29.41,2.71,192666096000,6.63,16,3,塞力医疗,10.0
428,锂电池,BK0574,3014.62,77.28,2.63,7920661504000,3.58,301,76,德新科技,9.99
455,次新股,BK0501,28091.97,713.73,2.61,798997440000,12.82,68,20,林泰新材,16.48
194,有机硅,BK0961,1218.72,30.99,2.61,306454656000,3.27,29,2,金银河,20.01
364,氟化工,BK0690,3155.7,79.91,2.6,586179408000,2.14,26,6,深圳新星,9.98
17,锂矿概念,BK1173,1174.27,29.24,2.55,2475818896000,2.22,34,2,科力远,9.94
204,刀片电池,BK0951,2325.19,55.01,2.42,1183760560000,6.9,10,3,德新科技,9.99
42,SPD概念,BK1147,919.55,21.31,2.37,69507617000,2.79,9,1,塞力医疗,10.0
103,千金藤素,BK1083,935.22,21.27,2.33,131362078000,1.32,4,1,皓元医药,5.09
426,稀土永磁,BK0578,2276.25,50.61,2.27,958838176000,2.9,51,10,西磁科技,14.76
144,PVDF概念,BK1012,831.96,18.43,2.27,267237638000,2.68,11,4,深圳新星,9.98
201,盲盒经济,BK0954,1230.26,26.83,2.23,113001190000,4.44,10,1,沐邦高科,10.0
95,麒麟电池,BK1092,1311.75,27.47,2.14,1317871744000,4.16,6,3,瑞泰新材,10.82
361,小金属概念,BK0695,2384.94,48.12,2.06,2725460000000,2.14,90,19,永杉锂业,10.05
145,环氧丙烷,BK1011,550.53,10.92,2.02,319047744000,2.12,13,1,美邦科技,7.69
14,财税数字化,BK1176,1725.95,33.77,2.0,536401728000,7.28,32,9,神州信息,9.99
299,体外诊断,BK0841,1233.04,23.6,1.95,950387168000,1.88,59,8,塞力医疗,10.0
74,复合集流体,BK1113,818.97,15.63,1.95,195224437000,4.59,20,5,汇成真空,12.21
150,碳基材料,BK1006,833.16,15.59,1.91,181866147000,3.56,14,4,中科电气,17.52
267,光刻机(胶),BK0884,2655.32,49.3,1.89,824186560000,4.53,68,16,海立股份,10.01
66,蒙脱石散,BK1123,931.22,16.27,1.78,55362287000,2.45,10,1,易明医药,4.81
57,MLOps概念,BK1132,1118.21,19.24,1.75,192268409000,4.29,9,1,宇信科技,4.69
244,转基因,BK0907,1397.3,22.48,1.64,120611334000,2.36,11,4,康农种业,10.9
