排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,采掘行业,BK1017,1117.05,17.18,1.56,290243600000,1.46,12,9,准油股份,10.02
2,酿酒行业,BK0477,49553.72,41.3,0.08,3613701616000,1.79,14,25,海南椰岛,10.03
3,化肥行业,BK0731,1309.58,-1.62,-0.12,379525024000,2.37,8,17,六国化工,10.0
4,银行,BK0475,3683.11,-20.85,-0.56,13338063616000,0.27,5,37,中信银行,3.14
5,电力行业,BK0428,15238.91,-96.59,-0.63,2898291104000,0.92,12,66,长青集团,9.93
6,航运港口,BK0450,9368.11,-69.02,-0.73,983346176000,0.6,6,27,厦门港务,1.16
7,铁路公路,BK0421,8703.87,-74.14,-0.84,755638768000,0.55,5,22,富临运业,6.07
8,小金属,BK1027,1957.37,-17.91,-0.91,654182272000,2.97,9,29,东方锆业,10.0
9,旅游酒店,BK0485,14302.85,-141.13,-0.98,334135584000,4.07,10,27,锦江Ｂ股,1.18
10,煤炭行业,BK0437,9942.92,-102.42,-1.02,1616418288000,0.77,4,29,电投能源,1.78
11,石油行业,BK0464,5531.86,-57.67,-1.03,3534717008000,0.38,5,15,洲际油气,2.75
12,工程建设,BK0425,21930.4,-257.13,-1.16,1413438272000,1.16,15,54,东华科技,10.05
13,燃气,BK1028,1433.28,-16.81,-1.16,272779456000,1.0,4,28,新奥股份,2.27
14,中药,BK1040,1320.86,-15.52,-1.16,865770096000,1.97,8,61,东阿阿胶,3.28
15,航空机场,BK0420,4758.14,-56.4,-1.17,672471536000,1.09,1,12,中国国航,0.14
16,物流行业,BK0422,6257.3,-76.65,-1.21,888188912000,1.1,13,42,原尚股份,9.98
17,美容护理,BK1035,815.71,-10.01,-1.21,280270912000,3.42,6,22,可靠股份,5.54
18,化学原料,BK1019,774.76,-9.81,-1.25,867197616000,1.46,14,66,三祥新材,10.0
19,公用事业,BK0427,8010.1,-112.15,-1.38,183392301000,1.23,1,21,东望时代,2.7
20,食品饮料,BK0438,25748.33,-364.06,-1.39,1558543488000,2.86,27,91,好想你,9.97
21,房地产开发,BK0451,12392.05,-184.33,-1.47,1050569520000,2.12,14,80,华联控股,10.0
22,装修建材,BK0476,12162.5,-185.38,-1.5,428303984000,3.87,8,59,濮耐股份,6.43
23,农药兽药,BK0730,948.6,-14.67,-1.52,258960751000,1.65,5,43,美邦股份,2.55
24,水泥建材,BK0424,23506.33,-369.22,-1.55,338977104000,1.72,5,23,ST三圣,2.46
25,工程机械,BK0739,1838.6,-30.03,-1.61,730791840000,2.39,4,28,铁拓机械,20.06
26,珠宝首饰,BK0734,357.58,-6.17,-1.7,137997829000,1.28,1,14,飞亚达Ｂ,0.3
27,钢铁行业,BK0479,7232.15,-126.85,-1.72,872260288000,1.34,6,38,本钢板材,3.07
28,房地产服务,BK1045,1126.05,-19.87,-1.73,91369325000,4.06,5,13,群兴玩具,9.98
29,纺织服装,BK0436,10592.14,-191.22,-1.77,520891664000,2.51,16,82,哈森股份,10.01
30,工程咨询服务,BK0726,710.31,-13.32,-1.84,187258523000,3.43,5,38,汉嘉设计,8.27
31,农牧饲渔,BK0433,12733.39,-244.04,-1.88,937055200000,2.48,8,82,海大集团,5.9
32,能源金属,BK1015,472.58,-9.18,-1.91,337276288000,2.93,0,12,西藏矿业,0.0
33,化纤行业,BK0471,13578.42,-263.93,-1.91,446697312000,1.98,4,24,吉林化纤,4.19
34,橡胶制品,BK1018,1387.96,-27.7,-1.96,281959088000,2.25,8,25,科隆新材,6.68
35,贵金属,BK0732,1099.55,-22.22,-1.98,319058768000,1.68,1,11,湖南黄金,0.23
36,包装材料,BK0733,928.23,-19.29,-2.04,123647619000,3.19,4,25,紫江企业,2.7
37,玻璃玻纤,BK0546,34155.05,-716.02,-2.05,335004240000,1.72,3,20,山东华鹏,9.98
38,化学制品,BK0538,23242.26,-490.39,-2.07,1270926000000,2.11,17,149,晶华新材,9.98
39,装修装饰,BK0725,501.08,-10.82,-2.11,119434944000,2.07,3,35,时空科技,9.98
40,电网设备,BK0457,25875.49,-568.2,-2.15,1222387264000,3.17,22,111,天正电气,9.96
41,有色金属,BK0478,16074.66,-360.21,-2.19,1478816144000,1.81,8,67,罗平锌电,5.07
42,光伏设备,BK1031,1101.24,-25.01,-2.22,1351119312000,2.41,10,67,金博股份,10.73
43,医药商业,BK1042,973.8,-22.2,-2.23,314328384000,1.21,0,31,开开Ｂ股,-0.37
44,专业服务,BK1043,1181.03,-26.93,-2.23,201725677000,1.89,6,31,瑞华技术,4.02
45,电源设备,BK1034,2039.26,-47.34,-2.27,404846112000,3.95,6,23,奥 特 迅,10.02
46,医疗器械,BK1041,817.74,-19.14,-2.29,1328519472000,2.18,14,107,蓝帆医疗,9.98
47,环保行业,BK0728,403.5,-9.47,-2.29,613971824000,2.71,11,106,上海洗霸,10.01
48,船舶制造,BK0729,786.49,-19.68,-2.44,350310672000,1.04,0,10,中国动力,-0.32
49,综合行业,BK0539,9997.67,-252.36,-2.46,185320149000,2.82,3,18,粤桂股份,3.88
50,交运设备,BK0429,9113.08,-233.2,-2.5,660255536000,1.26,6,43,威奥股份,2.38
51,化学制药,BK0465,27720.54,-716.62,-2.52,1623458048000,1.9,9,135,*ST普利,3.23
52,家电行业,BK0456,21036.58,-544.78,-2.52,1919913840000,3.35,15,76,宏海科技,17.71
53,多元金融,BK0738,547.52,-14.24,-2.53,434273280000,1.41,1,21,*ST仁东,3.49
54,生物制品,BK1044,831.47,-23.06,-2.7,1324351264000,1.5,5,69,百济神州-U,5.49
55,非金属材料,BK1020,1229.34,-34.55,-2.73,377721424000,4.32,5,28,平安电工,9.99
56,造纸印刷,BK0470,8647.07,-243.11,-2.73,241659539000,2.9,6,34,仙鹤股份,5.03
57,风电设备,BK1032,1016.69,-29.33,-2.8,287598480000,1.97,2,27,中际联合,0.44
58,家用轻工,BK0440,40558.42,-1206.62,-2.89,278786336000,3.16,4,34,趣睡科技,3.24
59,贸易行业,BK0484,9586.41,-292.25,-2.96,316470576000,2.78,4,32,中成股份,2.96
60,汽车整车,BK1029,1642.31,-50.48,-2.98,2302920720000,1.96,2,23,中国重汽,1.48
61,电池,BK1033,1037.22,-32.1,-3.0,2115273120000,5.07,9,64,信宇人,5.99
62,航天航空,BK0480,42113.11,-1373.27,-3.16,1017868336000,1.92,2,44,星图测控,3.81
63,证券,BK0473,140359.2,-4626.88,-3.19,3301991680000,1.58,0,49,海通证券,0.0
64,商业百货,BK0482,16824.49,-557.14,-3.21,553382016000,4.63,8,53,东百集团,10.06
65,塑料制品,BK0454,13304.46,-462.27,-3.36,403095344000,5.13,11,76,道恩股份,5.84
66,汽车服务,BK1016,942.29,-32.84,-3.37,68902252000,2.76,1,13,物贸Ｂ股,-1.48
67,电子化学品,BK1039,1573.43,-65.47,-3.99,284192560000,4.6,1,26,光华科技,0.31
68,专用设备,BK0910,2590.44,-108.94,-4.04,1611146928000,4.84,19,244,至纯科技,10.0
69,计算机设备,BK0735,1307.93,-56.52,-4.14,962776816000,4.46,5,45,苏州科达,5.59
70,汽车零部件,BK0481,38232.2,-1664.56,-4.17,1894432192000,5.15,15,207,海泰科,20.0
71,医疗服务,BK0727,1041.55,-46.89,-4.31,705947632000,3.15,2,41,澳洋健康,0.87
72,文化传媒,BK0486,9802.61,-443.78,-4.33,1067302416000,3.46,4,95,中南传媒,0.93
73,保险,BK0474,1355.55,-62.45,-4.4,2775752272000,0.55,0,6,中国平安,-2.4
74,仪器仪表,BK0458,15570.8,-723.2,-4.44,333285344000,5.09,7,65,天罡股份,10.04
75,光学光电子,BK1038,1504.07,-69.89,-4.44,1099649888000,2.85,4,97,GQY视讯,20.06
76,通用设备,BK0545,34838.81,-1653.04,-4.53,1298776224000,5.68,13,204,华丰股份,9.99
77,教育,BK0740,656.24,-31.5,-4.58,87134998000,5.68,1,14,*ST开元,0.85
78,游戏,BK1046,1210.09,-61.54,-4.84,366797712000,6.1,2,25,宝通科技,5.15
79,互联网服务,BK0447,27051.88,-1443.06,-5.06,1898603376000,8.04,15,132,宏景科技,20.01
80,电子元件,BK0459,23730.6,-1285.51,-5.14,1990072768000,3.99,7,137,胜业电气,8.53
81,消费电子,BK1037,1584.54,-87.57,-5.24,2116534128000,4.53,4,95,凯旺科技,20.01
82,通信设备,BK0448,13524.34,-754.63,-5.28,1529822592000,4.92,6,102,实达集团,10.09
83,半导体,BK1036,1495.62,-88.45,-5.58,4876040960000,4.27,2,157,汇成股份,7.84
84,通信服务,BK0736,1178.92,-73.46,-5.87,3480441024000,1.5,1,38,梦网科技,0.63
85,软件开发,BK0737,1154.98,-74.6,-6.07,2445825792000,6.24,9,187,延华智能,10.01
86,电机,BK1030,2126.3,-138.81,-6.13,246331167000,6.82,1,25,祥明智能,1.41
