排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,钢铁行业,BK0479,7376.36,390.75,5.59,883252944000,2.35,48,0,八一钢铁,9.9
2,光伏设备,BK1031,1143.2,38.15,3.45,1395407952000,3.37,72,4,中信博,12.16
3,房地产服务,BK1045,1136.25,31.51,2.85,91230725000,4.72,16,2,皇庭国际,10.09
4,电机,BK1030,2264.3,62.01,2.82,268694368000,9.86,21,4,迪贝电气,9.98
5,证券,BK0473,145150.36,3953.39,2.8,3400379344000,1.44,49,0,中国银河,9.98
6,通用设备,BK0545,36629.37,945.45,2.65,1379941504000,7.51,177,37,华丰股份,9.98
7,房地产开发,BK0451,12554.98,272.72,2.22,1061607184000,2.01,85,8,光大嘉宝,9.94
8,非金属材料,BK1020,1265.13,27.42,2.22,394617280000,4.02,31,3,美畅股份,7.18
9,电池,BK1033,1039.6,21.95,2.16,2142109600000,3.8,67,8,圣阳股份,9.98
10,生物制品,BK1044,849.7,16.99,2.04,1329128016000,1.58,63,12,益方生物-U,14.09
11,专用设备,BK0910,2705.31,53.27,2.01,1689703376000,5.77,210,49,标准股份,9.93
12,汽车零部件,BK0481,39961.14,772.91,1.97,2003506112000,5.55,178,43,联诚精密,9.97
13,塑料制品,BK0454,13756.49,265.11,1.97,421286288000,6.33,68,17,江苏博云,20.0
14,水泥建材,BK0424,23846.06,437.27,1.87,338554384000,1.86,27,1,四川金顶,5.25
15,保险,BK0474,1406.7,24.92,1.8,2862495376000,0.38,6,0,新华保险,3.13
16,半导体,BK1036,1590.83,28.14,1.8,5161550592000,4.3,125,34,成都华微,20.01
17,石油行业,BK0464,5495.91,95.26,1.76,3503264960000,0.28,14,5,广聚能源,9.98
18,有色金属,BK0478,16568.09,278.39,1.71,1516803408000,1.73,64,9,利源股份,9.96
19,家电行业,BK0456,21541.04,360.95,1.7,1934521040000,3.61,75,15,浙江美大,9.95
20,造纸印刷,BK0470,8868.15,146.66,1.68,244223164000,2.2,31,9,美利云,10.0
