排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
76,文化传媒,BK0486,10246.4,-103.65,-1.0,1108031664000,3.92,14,85,旗天科技,6.84
77,航天航空,BK0480,43486.38,-446.44,-1.02,1042335632000,2.02,3,42,新研股份,4.42
78,互联网服务,BK0447,28494.94,-335.4,-1.16,2001671488000,7.77,36,112,大位科技,9.94
79,软件开发,BK0737,1229.58,-14.66,-1.18,2593087408000,7.18,40,155,中电兴发,10.03
80,计算机设备,BK0735,1364.45,-17.78,-1.29,1003623040000,4.94,8,42,苏州科达,9.96
81,贵金属,BK0732,1121.77,-14.71,-1.29,323892192000,1.86,3,9,四川黄金,0.41
82,光学光电子,BK1038,1573.96,-22.74,-1.42,1143004240000,3.38,15,86,天禄科技,5.8
83,光伏设备,BK1031,1126.25,-16.95,-1.48,1377424096000,2.48,7,69,ST天龙,4.69
84,通信服务,BK0736,1252.38,-19.24,-1.51,3517485488000,1.65,7,32,超讯通信,5.25
85,电源设备,BK1034,2086.61,-35.04,-1.65,421337264000,3.82,6,24,华西能源,4.59
86,通信设备,BK0448,14278.97,-275.95,-1.9,1621543616000,5.04,17,90,共进股份,9.99
