排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
259,乳业,BK0892,1045.53,42.05,4.19,446844416000,2.85,26,3,庄园牧场,10.04
225,免税概念,BK0927,1308.35,48.13,3.82,945440768000,2.58,30,1,海南发展,10.01
221,退税商店,BK0933,1214.86,40.97,3.49,146680857000,2.33,10,0,广百股份,9.97
190,社区团购,BK0965,890.88,25.13,2.9,599356640000,5.56,36,3,宏辉果蔬,9.95
187,固态电池,BK0968,1734.1,42.28,2.5,5140046336000,4.23,114,52,华丰股份,9.99
348,赛马概念,BK0709,707.7,16.4,2.37,19060008000,4.36,2,2,海南瑞泽,10.0
310,新零售,BK0825,947.57,20.78,2.24,2533244096000,3.6,116,26,宏辉果蔬,9.95
138,预制菜概念,BK1025,1053.18,22.72,2.2,656125648000,4.16,50,5,同庆楼,10.0
168,钠离子电池,BK0988,1356.77,25.3,1.9,2015506528000,3.37,35,15,上海洗霸,10.02
255,白酒,BK0896,2113.43,32.58,1.57,3573493376000,1.37,42,5,海南椰岛,10.0
35,东盟自贸区概念,BK1154,1110.51,16.81,1.54,177117580000,1.89,9,4,华孚时尚,9.96
155,内贸流通,BK1001,1212.5,18.28,1.53,1475192208000,3.57,108,52,广聚能源,10.01
363,在线旅游,BK0692,1604.94,23.01,1.45,225966855000,3.14,19,7,凯撒旅业,9.92
217,代糖概念,BK0938,931.73,13.3,1.45,138601225000,2.15,7,8,佳禾食品,9.98
219,长寿药,BK0936,861.45,12.18,1.43,124064117000,4.59,11,3,友阿股份,7.38
322,超级品牌,BK0811,2330.73,32.38,1.41,8696294656000,1.51,28,4,泸州老窖,5.1
293,进口博览,BK0850,988.08,13.71,1.41,240934890000,1.13,13,3,来伊份,10.02
200,C2M概念,BK0955,1193.94,16.46,1.4,316218368000,3.96,28,11,卓翼科技,10.02
106,户外露营,BK1079,1229.53,16.48,1.36,129354309000,2.37,22,3,浙江自然,10.0
137,调味品概念,BK1026,864.1,11.33,1.33,686287344000,1.69,24,6,骑士乳业,9.28
163,宠物经济,BK0993,744.78,9.75,1.33,250588874000,1.71,25,11,天元宠物,15.18
4,首发经济,BK1186,978.46,12.46,1.29,320627200000,6.74,23,16,友好集团,10.05
5,冰雪经济,BK1185,889.34,11.16,1.27,229496026000,4.61,21,14,冰山冷热,9.96
58,同步磁阻电机,BK1131,1683.99,21.17,1.27,76885942000,11.1,3,3,新时达,6.42
224,抖音小店,BK0928,1208.9,15.07,1.26,263753901000,4.7,19,9,友阿股份,7.38
112,啤酒概念,BK1073,1004.5,12.52,1.26,235305760000,1.64,13,4,亚盛集团,4.59
280,人造肉,BK0866,1000.61,11.94,1.21,184729726000,4.37,14,5,好想你,10.05
383,婴童概念,BK0664,1435.25,16.91,1.19,1252595712000,4.01,92,50,群兴玩具,10.02
204,刀片电池,BK0951,2369.91,26.66,1.14,1228259424000,5.99,8,5,紫江企业,10.0
215,网红直播,BK0940,690.26,7.7,1.13,1729761408000,5.97,85,46,好想你,10.05
277,单抗概念,BK0870,1432.59,15.9,1.12,1464640784000,1.4,29,16,奥泰生物,15.54
73,跨境电商,BK1115,1364.34,15.1,1.12,1439486912000,4.59,84,46,海南椰岛,10.0
181,化妆品概念,BK0974,1060.64,11.46,1.09,655643280000,2.16,40,15,上海家化,7.9
326,共享经济,BK0807,869.6,9.05,1.05,255237643000,3.75,8,11,中电兴发,10.03
382,电商概念,BK0665,2040.61,20.93,1.04,6529021184000,3.16,216,115,海南椰岛,10.0
79,科创板做市股,BK1108,996.0,10.09,1.02,1942870352000,1.67,24,20,纳微科技,15.04
100,粮食概念,BK1086,785.04,7.88,1.01,206640704000,3.66,17,8,华资实业,10.04
104,噪声防治,BK1082,1281.47,11.18,0.88,33743404000,5.23,1,7,德尔股份,15.78
330,股权转让,BK0803,670.1,5.61,0.84,192714288000,2.94,18,20,汉嘉设计,20.02
228,地摊经济,BK0924,1847.12,15.24,0.83,630370432000,2.99,24,11,武商集团,4.87
239,消毒剂,BK0913,1221.23,10.03,0.83,554102160000,2.26,35,24,上海洗霸,10.02
43,减肥药,BK1146,924.5,7.54,0.82,375441520000,1.82,17,7,诺泰生物,5.42
248,云游戏,BK0903,1354.05,10.86,0.81,361406688000,7.49,14,12,宝通科技,17.27
131,动力电池回收,BK1052,747.54,6.04,0.81,731367392000,3.1,18,20,光华科技,10.01
116,智慧灯杆,BK1069,1487.27,11.86,0.8,145463406000,6.18,13,12,茂硕电源,10.02
81,创新药,BK1106,1096.36,8.27,0.76,1584352064000,1.76,49,33,汇宇制药-W,9.8
283,超级真菌,BK0862,964.97,6.97,0.73,496598496000,1.84,12,9,奥赛康,8.34
398,土地流转,BK0632,1589.03,11.56,0.73,475257952000,3.01,26,23,大名城,9.97
157,茅指数,BK0999,726.6,5.09,0.71,13264021248000,1.37,26,16,泸州老窖,5.1
428,锂电池,BK0574,3023.52,20.73,0.69,8001224960000,3.37,172,204,光华科技,10.01
117,净水概念,BK1068,1157.44,7.77,0.68,1128745584000,1.71,12,6,中晟高科,10.02
160,毛发医疗,BK0996,800.23,5.32,0.67,88814965000,2.05,10,2,水羊股份,2.33
201,盲盒经济,BK0954,1271.64,7.66,0.61,116770677000,6.63,6,5,高乐股份,5.91
3,小红书概念,BK1187,1132.22,6.87,0.61,488537152000,8.45,37,25,来伊份,10.02
349,体育产业,BK0708,1200.55,7.07,0.59,829808992000,2.47,35,36,凯撒旅业,9.92
188,水产养殖,BK0967,813.58,4.52,0.56,247212630000,2.85,11,6,ST佳沃,3.71
410,央视50_,BK0610,2250.91,12.46,0.56,15552575232000,0.38,31,17,海澜之家,6.68
263,农业种植,BK0888,2074.93,11.33,0.55,742263024000,4.05,41,39,好想你,10.05
455,次新股,BK0501,27787.89,150.3,0.54,836826512000,12.22,47,43,天和磁材,9.99
291,冷链物流,BK0852,1768.93,9.24,0.53,1561955472000,2.72,57,51,冰山冷热,9.96
165,工程机械概念,BK0991,1384.39,7.23,0.52,1027092272000,1.87,20,30,威博液压,17.05
458,AB股,BK0498,10970.8,57.2,0.52,1398284944000,2.48,36,34,深 赛 格,10.05
176,低碳冶金,BK0979,939.55,4.48,0.48,311088464000,1.04,4,3,首钢股份,2.7
107,肝炎概念,BK1078,1129.71,5.3,0.47,433296912000,2.37,21,20,热景生物,10.43
7,谷子经济,BK1183,1066.97,4.9,0.46,551191696000,7.45,26,34,好想你,10.05
80,科创板做市商,BK1107,1450.08,6.25,0.43,1831140864000,1.19,5,9,中国银河,10.0
256,维生素,BK0895,1639.78,6.62,0.41,417143440000,1.6,16,14,民生健康,5.68
377,彩票概念,BK0671,2408.76,9.64,0.4,391534256000,4.02,10,12,海南椰岛,10.0
