排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
315,可燃冰,BK0818,1138.76,24.87,2.23,302792224000,1.19,7,7,准油股份,10.02
146,磷化工,BK1010,655.06,-0.87,-0.13,679596000000,1.87,15,28,六国化工,10.0
451,ST股,BK0511,5389.87,-8.13,-0.15,475978288000,1.91,41,83,ST花王,4.96
176,低碳冶金,BK0979,934.33,-5.22,-0.56,309721328000,0.76,2,3,中钢国际,1.03
255,白酒,BK0896,2101.28,-12.15,-0.57,3580680544000,1.53,10,38,海南椰岛,10.03
217,代糖概念,BK0938,925.4,-6.33,-0.68,137923443000,2.17,4,11,佳禾食品,10.03
411,油气设服,BK0606,1523.37,-11.06,-0.72,1895613104000,1.45,18,46,准油股份,10.02
461,煤化工,BK0492,8540.45,-67.07,-0.78,2274733392000,1.33,14,59,东华科技,10.05
413,页岩气,BK0603,1803.09,-14.87,-0.82,2552070624000,0.64,10,31,准油股份,10.02
244,转基因,BK0907,1374.82,-11.92,-0.86,119307966000,2.45,2,13,芭田股份,8.13
35,东盟自贸区概念,BK1154,1100.77,-9.74,-0.88,176966448000,1.89,3,11,赛轮轮胎,1.42
84,熔盐储能,BK1103,816.02,-7.41,-0.9,72380988000,2.84,2,7,东华科技,10.05
322,超级品牌,BK0811,2308.09,-22.64,-0.97,8644808192000,1.37,6,26,东阿阿胶,3.28
137,调味品概念,BK1026,853.68,-10.42,-1.21,679472288000,1.6,6,25,华宝股份,3.69
112,啤酒概念,BK1073,991.92,-12.58,-1.25,235138337000,1.47,5,12,燕京啤酒,3.16
205,草甘膦,BK0950,1366.93,-17.34,-1.25,150438886000,1.07,1,13,江山股份,0.36
395,B股,BK0636,873.77,-11.46,-1.29,428422192000,0.3,14,62,苏常柴Ｂ,3.33
297,天然气,BK0843,1258.49,-16.46,-1.29,4649350400000,0.72,20,102,潜能恒信,20.03
160,毛发医疗,BK0996,789.71,-10.52,-1.31,87209691000,2.72,3,12,金发拉比,2.44
450,化工原料,BK0512,20328.03,-272.38,-1.32,1122176160000,1.9,12,58,六国化工,10.0
264,鸡肉概念,BK0887,708.76,-9.58,-1.33,358416272000,1.38,2,17,天马科技,4.19
276,青蒿素,BK0872,1490.04,-20.19,-1.34,268865280000,1.12,2,9,南卫股份,1.56
328,钛白粉,BK0805,967.93,-13.13,-1.34,137388793000,1.23,1,9,鲁北化工,2.22
91,光伏高速公路,BK1096,1267.59,-17.29,-1.35,106790220000,0.6,0,6,广州发展,0.0
269,猪肉概念,BK0882,1142.79,-15.66,-1.35,838327840000,1.64,3,33,海大集团,5.9
139,绿色电力,BK1024,981.45,-13.83,-1.39,4542500864000,1.02,16,112,长青集团,9.93
75,破净股,BK1112,1253.0,-17.69,-1.39,22060235520000,0.62,38,364,蓝帆医疗,9.98
361,小金属概念,BK0695,2336.82,-34.47,-1.45,2675190736000,1.86,17,94,东方锆业,10.0
99,超超临界发电,BK1087,1136.44,-16.82,-1.46,862554128000,1.12,5,37,华西能源,4.17
448,稀缺资源,BK0519,21287.15,-318.66,-1.47,2854888496000,1.14,9,66,云南锗业,4.63
455,次新股,BK0501,27378.24,-409.65,-1.47,813339408000,15.6,28,62,林泰新材,30.0
145,环氧丙烷,BK1011,539.61,-8.13,-1.48,317936304000,1.78,1,14,红 宝 丽,1.08
103,千金藤素,BK1083,913.95,-13.98,-1.51,130565807000,0.99,0,5,云南白药,-0.22
106,户外露营,BK1079,1210.92,-18.61,-1.51,127405173000,2.44,5,21,趣睡科技,3.24
193,RCEP概念,BK0962,1058.2,-16.46,-1.53,215028722000,1.83,6,18,好想你,9.97
177,光伏建筑一体化,BK0978,1262.14,-19.78,-1.54,1058632736000,2.99,13,71,汉嘉设计,8.27
50,中特估,BK1139,1062.87,-16.8,-1.56,22736049408000,0.38,12,68,中信银行,3.14
188,水产养殖,BK0967,800.61,-12.97,-1.59,248558887000,2.6,2,15,海大集团,5.9
153,抽水蓄能,BK1003,1236.87,-20.26,-1.61,873841136000,0.8,3,29,国电南瑞,1.3
280,人造肉,BK0866,984.53,-16.08,-1.61,183147111000,3.68,2,17,好想你,9.97
150,碳基材料,BK1006,817.57,-13.39,-1.61,178362997000,3.43,4,14,金博股份,10.73
239,消毒剂,BK0913,1201.48,-19.75,-1.62,544395776000,2.22,10,49,上海洗霸,10.01
164,REITs概念,BK0992,802.28,-13.74,-1.68,853139072000,1.95,4,21,光大嘉宝,5.05
378,生态农业,BK0669,1210.86,-21.12,-1.71,269881312000,2.39,5,37,好想你,9.97
225,免税概念,BK0927,1285.8,-22.55,-1.72,930251024000,2.22,5,25,东百集团,10.06
409,上证50_,BK0611,1798.73,-31.44,-1.72,26558599424000,0.33,5,45,国电南瑞,1.3
130,低价股,BK1053,983.94,-17.17,-1.72,1876153728000,1.98,25,183,天地源,10.14
408,上证180_,BK0612,1460.81,-25.83,-1.74,42030052864000,0.47,24,153,百利天恒-U,3.44
439,黄金概念,BK0547,11600.2,-208.16,-1.76,1470953344000,1.44,4,50,东方锆业,10.0
312,租售同权,BK0822,745.61,-13.38,-1.76,431622320000,2.66,2,15,三湘印象,1.56
190,社区团购,BK0965,875.05,-15.83,-1.78,590295008000,4.85,9,30,中百集团,4.8
373,独家药品,BK0676,2284.32,-41.35,-1.78,709296240000,1.38,2,37,健民集团,0.2
454,中字头,BK0505,7886.82,-142.82,-1.78,15763513344000,0.54,11,94,中材节能,6.29
181,化妆品概念,BK0974,1041.8,-18.84,-1.78,647239120000,2.36,9,48,芭薇股份,7.02
363,在线旅游,BK0692,1576.21,-28.73,-1.79,221483553000,3.09,9,17,ST元成,2.4
396,中超概念,BK0635,2105.01,-38.47,-1.79,206579781000,0.95,2,6,华夏幸福,0.75
364,氟化工,BK0690,3075.79,-56.65,-1.81,575376240000,1.74,4,28,龙星科技,2.99
457,AH股,BK0499,7495.92,-138.93,-1.82,32759411456000,0.44,18,127,百济神州-U,5.49
406,中药概念,BK0615,1956.68,-36.21,-1.82,1852730720000,1.87,12,131,东阿阿胶,3.28
294,京东金融,BK0849,1450.88,-27.01,-1.83,229058071000,1.31,1,10,东百集团,10.06
210,装配建筑,BK0945,944.42,-17.59,-1.83,1423311552000,1.64,14,76,宁波建工,10.05
256,维生素,BK0895,1609.29,-30.49,-1.86,411979120000,1.7,3,27,民生健康,2.99
211,肝素概念,BK0944,817.09,-15.55,-1.87,200547179000,1.28,0,13,辰欣药业,-0.83
206,氦气概念,BK0949,1313.3,-25.17,-1.88,88457400000,2.43,2,9,侨源股份,3.73
174,工业气体,BK0981,1388.44,-26.61,-1.88,377659712000,1.16,3,24,侨源股份,3.73
117,净水概念,BK1068,1135.71,-21.73,-1.88,1122834176000,1.61,2,16,长虹美菱,1.49
108,统一大市场,BK1077,1114.74,-21.46,-1.89,365458800000,2.34,4,34,东百集团,10.06
163,宠物经济,BK0993,730.67,-14.11,-1.89,246269430000,1.8,6,30,可靠股份,5.54
449,参股券商,BK0514,12994.74,-253.67,-1.91,4004815696000,1.56,13,122,宁波建工,10.05
341,证金持股,BK0718,1282.43,-25.38,-1.94,36465733376000,0.59,20,212,濮耐股份,6.43
410,央视50_,BK0610,2207.03,-43.88,-1.95,15401174528000,0.39,6,44,东阿阿胶,3.28
223,地塞米松,BK0929,1149.5,-22.83,-1.95,76204847000,1.71,0,10,国药现代,-1.23
105,新型城镇化,BK1080,869.16,-17.31,-1.95,427218256000,2.92,11,88,宏景科技,20.01
