排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,电池,BK1033,1101.11,63.89,6.16,2205483056000,6.08,71,3,德新科技,9.99
2,能源金属,BK1015,489.59,17.01,3.6,352842656000,4.4,13,0,腾远钴业,6.11
3,小金属,BK1027,2020.52,63.15,3.23,670350464000,3.68,37,1,华阳新材,9.94
4,美容护理,BK1035,835.0,19.29,2.36,284518288000,3.78,24,4,拉芳家化,10.02
5,非金属材料,BK1020,1258.34,29.0,2.36,383408800000,4.52,28,6,中科电气,17.52
6,化学制品,BK0538,23759.54,517.28,2.23,1290476912000,2.49,136,27,晶华新材,9.98
7,医疗服务,BK0727,1062.86,21.31,2.05,716481008000,3.45,38,5,嘉和美康,8.95
8,汽车服务,BK1016,959.41,17.12,1.82,69235210000,2.29,7,5,德众汽车,18.83
9,农药兽药,BK0730,965.51,16.91,1.78,262967171000,1.76,40,7,先达股份,10.0
10,仪器仪表,BK0458,15843.82,273.02,1.75,333967616000,4.3,49,22,宁水集团,10.0
11,有色金属,BK0478,16354.73,280.07,1.74,1508466944000,1.93,63,8,深圳新星,9.98
12,化肥行业,BK0731,1331.02,21.44,1.64,387181392000,2.92,20,3,史丹利,5.0
13,风电设备,BK1032,1032.87,16.18,1.59,291647600000,2.14,25,4,恒润股份,10.0
14,房地产服务,BK1045,1143.68,17.63,1.57,92771891000,3.81,12,5,群兴玩具,10.04
15,电子化学品,BK1039,1597.83,24.4,1.55,286950144000,3.68,19,8,格林达,6.28
16,中药,BK1040,1340.15,19.29,1.46,873302624000,1.82,55,15,启迪药业,10.04
17,医疗器械,BK1041,829.4,11.66,1.43,1333970112000,2.05,97,22,贝瑞基因,10.02
18,化学原料,BK1019,785.47,10.71,1.38,877277824000,1.77,64,14,美邦科技,7.69
19,医药商业,BK1042,987.17,13.37,1.37,317654192000,1.09,26,2,塞力医疗,10.0
20,玻璃玻纤,BK0546,34583.26,428.21,1.25,335809904000,1.85,17,4,金晶科技,5.86
21,生物制品,BK1044,840.22,8.75,1.05,1320391712000,1.42,56,18,未名医药,10.03
22,光伏设备,BK1031,1111.54,10.3,0.94,1365087440000,2.18,54,21,沐邦高科,10.0
23,环保行业,BK0728,407.17,3.67,0.91,616907216000,2.36,78,35,上海洗霸,10.01
24,电子元件,BK0459,23943.63,213.03,0.9,1979316720000,3.65,93,47,科力远,9.94
